user_id,total_amount,avg_amount,Breakfast_orders
110800200,24.800000000000004,2.48,10
117795512,17,2.4285714285714284,7
87030528,27.9,6.975,4
113808278,4.34,2.17,2
117942528,13,2.1666666666666665,6
192133628,15.1,2.5166666666666671,6
94817914,15.5,3.875,4
195246632,125,31.25,4
32806832,14.879999999999999,4.96,3
192682914,33.5,5.5833333333333339,6
51547002,20.8,5.1999999999999993,4
93529730,50.4,5.6000000000000005,9
46288512,46.4,3.569230769230769,13
196402612,18,3.5999999999999996,5
7111876,26.6,5.32,5
118099802,13,4.333333333333333,3
40485474,26.1,3.7285714285714282,7
45641982,33.5,3.7222222222222223,9
192415930,10.1,3.3666666666666667,3
112689466,44.599999999999994,2.973333333333334,15
104768542,11.8,5.9,2
43088614,21.299999999999997,3.55,6
82646406,14.899999999999999,3.725,4
36492996,21.400000000000002,7.1333333333333337,3
117380730,7.7,7.7,1
93535480,45,6.4285714285714288,7
106393308,19.9,4.9750000000000005,4
26191480,30.299999999999994,2.1642857142857141,14
67499342,10.3,5.15,2
186878680,27,9,3
82672212,31.1,4.4428571428571431,7
91703070,40.4,5.7714285714285714,7
21276794,9.2,1.5333333333333334,6
20188894,118,59,2
4239728,24.7,6.175,4
65793938,8.2,4.1,2
53519988,21.1,3.0142857142857147,7
65564168,10.8,3.5999999999999996,3
194234816,21.5,3.5833333333333335,6
56560450,17.799999999999997,3.5599999999999996,5
79685524,26.4,8.7999999999999989,3
116086566,10.8,3.6,3
99102538,20.599999999999998,5.15,4
63857982,2.8,2.8,1
56289510,3.1,3.1,1
17726744,20.8,4.16,5
49067096,10.1,3.3666666666666667,3
189418156,10.4,5.2,2
79397288,41.9,4.655555555555555,9
44547182,10.3,3.4333333333333331,3
183670226,12.2,12.2,1
110241714,9.3,4.65,2
81186274,29.200000000000003,14.600000000000001,2
62822890,27.8,2.7800000000000002,10
20995136,23.299999999999997,11.649999999999999,2
103620290,8.7,8.7,1
113765728,54.199999999999996,10.84,5
114839276,22.5,11.25,2
195012538,14.8,7.4,2
7634390,21.7,5.425,4
28006410,21.4,4.2800000000000011,5
114609552,12.6,4.2,3
31162562,35,5.833333333333333,6
173809252,31.2,7.8000000000000007,4
114918350,18.2,4.55,4
101835858,25.8,4.3000000000000007,6
174875716,17,8.5,2
173359142,17,3.4,5
175429924,14.3,7.15,2
69181010,33.349999999999994,3.0318181818181817,11
96267144,21.5,7.166666666666667,3
193750574,18,3,6
190197258,45,15,3
69870458,7.7,2.5666666666666669,3
167444094,11.3,1.8833333333333333,6
107448226,27.8,5.5600000000000005,5
53179082,14.85,3.7125000000000004,4
77290580,15.1,5.0333333333333332,3
98507758,29.3,4.8833333333333329,6
80626178,17.4,8.7,2
78193928,29.2,9.7333333333333325,3
115850034,20.3,6.7666666666666675,3
23181838,6.9,3.45,2
67736058,18.2,2.6,7
71758804,14.100000000000001,3.525,4
119524192,8.2,4.1,2
75869962,53.800000000000011,7.6857142857142851,7
96348196,13.6,2.7199999999999998,5
14086488,23.099999999999998,2.8875,8
175799534,2.7,2.7,1
114863932,15,7.5,2
119600506,18.3,3.66,5
99502876,9.9,4.95,2
72156842,50.7,3.9,13
104787908,12.8,6.4,2
33122990,17.299999999999997,5.7666666666666666,3
89998448,45.5,3.0333333333333332,15
33133386,22.1,4.42,5
3699596,59.9,19.966666666666669,3
193377974,8.4,4.2,2
195254728,29.15,29.15,1
188221788,3.74,3.74,1
68305906,14.1,2.35,6
190436918,11.9,1.9833333333333334,6
169810288,31.699999999999996,4.5285714285714285,7
53028662,27.200000000000003,3.8857142857142861,7
56673288,22.6,11.3,2
34307996,13.7,13.7,1
106892224,16.6,4.15,4
34359332,17,3.4,5
106833850,2.4,2.4,1
101094430,9.2,4.6,2
44923324,7.9,7.9,1
79040604,21.9,10.95,2
115970232,8.4,8.4,1
196082130,31,10.333333333333334,3
20881792,20.7,6.9,3
67266628,9.1,4.55,2
107123282,24.9,24.9,1
41889808,8.4,8.4,1
19306890,13,2.6,5
2794822,43,10.750000000000002,4
127073988,21.3,7.1000000000000005,3
172607870,10.7,2.6750000000000003,4
91010862,13.8,3.4499999999999997,4
99568288,35.050000000000004,5.8416666666666659,6
121056452,12.3,6.15,2
4937732,26,6.5,4
184406318,11.399999999999999,5.6999999999999993,2
88525620,21,21,1
111250264,16,16,1
123900862,8.6,8.6,1
64065764,24,3,8
186625220,13.6,13.6,1
105741672,27.5,3.0555555555555554,9
63097372,27.800000000000004,5.5600000000000005,5
62243566,7.1,2.3666666666666667,3
70694870,9.7,4.85,2
115300794,8.3,4.15,2
124243792,21.1,2.6375,8
121628876,53.6,7.6571428571428584,7
17991796,24.599999999999998,3.5142857142857147,7
27360478,19.8,3.3000000000000003,6
55125204,22.5,4.5,5
7860158,35.999999999999993,5.9999999999999991,6
100015868,82.7,9.1888888888888882,9
2926934,17.8,8.9,2
19493190,11.7,3.9,3
44281900,11.3,5.65,2
106955382,12.8,2.1333333333333333,6
5593462,16,3.1999999999999997,5
70629228,36.2,5.1714285714285717,7
9066232,18.8,4.6999999999999993,4
61628546,17.6,3.52,5
